Date,new_confirmed,confirmed_count,dead_count,cure_count,observe_count,new_contact,Hubei_new_confirmed,Hubei_confirmed_count,Hubei_dead_count,Hubei_cure_count,Hubei_observe_count,Hubei_new_contact
1.2,77,291,6,,922,,72,270,6,25,331,
1.21,149,440,9,,1394,458,105,375,9,28,426,111
1.22,131,571,17,,4928,3700,69,444,17,28,1693,1375
1.23,259,830,25,34,8420,3610,105,549,24,31,2776,1097
1.24,457,1287,41,38,13967,5690,180,729,39,32,4711,2029
1.25,688,1975,56,49,21556,8234,323,1052,52,42,6904,2307
1.26,769,2744,80,51,30453,9368,371,1423,76,44,9103,2405
1.27,1771,4515,106,60,44132,15034,1291,2714,100,47,15559,6510
1.28,1459,5974,132,103,59990,17704,840,3554,125,80,20366,5191
1.29,1737,7711,170,124,81947,23156,1032,4586,162,90,26632,6685
1.3,1982,9692,213,171,102427,24886,1220,5806,204,116,32340,6364
1.31,2102,11791,259,243,118478,23408,1347,7153,249,166,36838,5931
2.01,2590,14380,304,328,137594,26857,1921,9074,294,215,43121,7496
2.02,2829,17205,361,475,152700,25739,2103,11177,350,295,48171,7517
2.03,3235,20438,425,632,171329,31432,2345,13522,414,396,58544,12900
2.04,3887,24324,490,892,185555,31139,3156,16678,479,520,66764,12051
2.05,3694,28018,563,1153,186354,30659,2987,19665,549,633,64127,9958
2.06,3143,31161,636,1540,186045,31215,2447,22112,618,817,64057,10602
2.07,3399,34546,722,2050,189660,31470,2841,24953,699,1115,67802,12445
2.08,2656,37198,811,2649,188183,26407,2147,27100,780,1439,70438,9783
2.09,3062,40171,908,3281,187518,27582,2618,29631,871,1795,73127,8728
2.1,2478,42638,1016,3996,187728,28951,2097,31728,974,2222,76207,11724
2.11,2015,44653,1113,4740,185037,23024,1638,33366,1068,2639,77195,7972
2.12,1820,46472,1232,5488,181386,20069,1508,34874,1175,3018,77308,6126
2.13,1995,48467,1380,6723,177984,21536,1728,36602,1318,3862,77685,8441
2.14,1503,49970,1454,7465,169039,20116,1282,37884,1388,4143,77323,9330
2.15,1121,51090,1665,9419,158764,16235,955,38839,1596,5623,74261,7035
2.16,2048,70548,1770,10844,150539,16598,1933,58182,1696,6639,71613,8251
2.17,1886,72436,1868,12552,141552,14885,1807,59989,1789,7862,69270,7888
2.18,1749,74185,2004,14376,135881,13517,1693,61682,1921,9128,68345,6765
2.19,394,74576,2118,16155,126363,14745,349,62031,2029,10337,65525,8006
2.2,889,75465,2236,18264,120302,16874,411,62442,2144,11788,63126,11603
2.21,397,76288,2345,20659,113564,12878,366,63454,2250,13557,62787,8521
2.22,648,76936,2442,22888,106089,9602,630,64084,2346,15299,61181,6720
2.23,409,77150,2592,24734,97481,7014,398,64287,2495,16738,58575,5844
2.24,508,77658,2663,27323,87902,6211,499,64786,2563,18854,53474,4484
2.25,406,78064,2715,29745,79108,5664,401,65187,2615,20912,49438,4485
2.26,433,78497,2744,32495,71572,4768,409,65596,2641,23200,46326,3741
2.27,327,78824,2788,36117,65225,3880,318,65914,2682,26403,43122,2704
2.28,427,79251,2835,39002,58233,2533,423,66337,2727,28895,39303,1721
2.29,573,79824,2870,41625,51856,2129,570,66907,2761,31187,35766,1701
3.01,202,80026,2912,44462,46219,2524,196,67103,2803,33757,32143,1968
3.02,125,80151,2943,47204,40651,1659,114,67217,2834,36167,28400,961
3.03,119,80270,2981,49856,36432,1498,115,67332,2871,38556,25290,833
3.04,139,80409,3012,52045,32870,2628,134,67466,2902,40479,22801,1214
3.05,143,80552,3042,53726,29896,1829,126,67592,2931,41966,21063,1366
3.06,99,80651,3070,55404,26730,1604,74,67666,2959,43468,18296,878
3.07,44,80695,3097,57065,23074,1580,41,67707,2986,45011,15587,380
3.08,40,80735,3119,58600,20146,722,36,67743,3007,46433,13211,400
3.09,19,80754,3136,59897,16982,578,17,67760,3024,47585,10832,304
3.1,24,80778,3158,61475,14607,548,13,67773,3046,49056,9066,188
3.11,15,80793,3169,62793,13701,1357,8,67781,3056,50298,7964,681
